tweet_id,user_id,text,label
1345991483917299714,2807061, cuando pueda y me toque https://t.co/BlcMyVMNmz,FAVOR
1126488644846596096,2929271,El Ministro de Educación de Nueva Zelanda ha empezado a llamar pro-plagas a los #antivacunas y a mi no me puede parecer mejor definición.  https://t.co/MtSG2P7iDL,FAVOR
565269689094656000,6513132,@ollicarreira @jmtraductor pero ¿hay antivacunas en España? Yo pensaba que ese nivel de retraso era estadounidense exclusivamente.,FAVOR
1342805866832130049,11798532,Deseando ponérmela en cuanto me toque. 👏🏻  #VayaQueSiMeVacuno #DetenteCovid #AquíEstáMiBrazaco https://t.co/wpldybiWSj,FAVOR
1130474546342051840,15022080,"Nena vacunada. Para ser su primera vacunación no ha llorado (casi) nada y volvemos a casa juntitas y felices. #vacunas  en Peña Grande, Madrid, Spain https://t.co/2H3iJbg2xh",FAVOR
556490948054880256,15915380,Una web que lleva la cuenta de las muertes achacables al movimiento antivacunas: http://t.co/LcQR1q9rTq,FAVOR
1347233038158221314,17919801,"No me he hecho foto, pero vacunada !!!!    Una gran alegría  #creoenlaciencia https://t.co/2xUuDNDul0",FAVOR
1308857844519796737,18882085,Muchas gracias a @IDIVALdireccion y su @gieconpsalud por su colaboración con @STOPmeningitis en este interesante estudio que tiene en cuenta la perspectiva de los pacientes y el SROI o ROI Social de la vacunación contra la meningitis  https://t.co/BLaqJlTnac,FAVOR
424881553198841856,19113547,Mañana me ponen la vacuna de la rubéola,FAVOR
1343146054330552321,20526714,💫 Hoy es el principio del fin⏩ @denisitxaso💉 Llegan a Euskadi las primeras vacunas contra la  #Covid-19@sanchezcastejon @salvador_illa@sanidadgob #ElGobiernoDeLasSoluciones en Hondarribia https://t.co/IACU4Tvtch,FAVOR
563977498716012545,21361705,Dando ejemplo..... Europa desacredita el calendario español de vacunas por no incluir la varicela http://t.co/EYIyQ0uNdN vía @eldiarioes,FAVOR
1314252546953879555,22950900,Una pequeña delicia sobre la historia de las #Vacunas | Nature.  Milestones in #Vaccines https://t.co/upJcchxm9x,FAVOR
563681402060038144,28717597,Mas de 250 contagiados en brote de Sarampion en Berlin. Gracias a las Bio-Muttis y a los pelmazos anti vacunas.,FAVOR
1326630224042348546,32965067,"@delquintopiso Hay otras candidatas más firmes a vacuna, como la de AstraZeneca #YoSÍMeVacuno",FAVOR
295964184783499264,33180244,Los peligros de no vacunar o porque no erradicamos el sarampión @verodiarioavis #pseudociencia_no http://t.co/rzDSBDmc,FAVOR
43020156737302528,37226226,"@CosasDeK Es efectiva si no has tenido esos tipos de papiloma, creo que la vacuna protege como contra 4 tipos, los + agresivos",FAVOR
70452375755829248,40629476,"Padres antivacunas, leed esto: RT @Naroh: Reaparece el sarampión en Asturias después de once años http://bit.ly/ki1vJb",FAVOR
77667684778643457,40629476,"@Milhaud lo triste es que muchos antivacunas leerán el artículo y se quedarán con el penultimo parrafo ignorando el resto, así funcionan :S",FAVOR
449500856069922817,41335841,Última vacuna para Camboya!! (@ Unidad Del Viajero) http://t.co/M8pu0LI5DB,FAVOR
1341414045723848704,42424530,"✅ Turno de Anthony Fauci que recibe la inyección de la vacuna #Covid_19.Dice que tiene ""una confianza extrema en la seguridad y eficacia de la vacuna”.  👏 https://t.co/DmA2QzJFRX",FAVOR
1349474668516945927,44640535,Antivirus: instalando actualización...paso 1 de 2.Las vacunas funcionan.Hagamos que funcione. #StopCOVID19  #vaccinationCovid https://t.co/1B6iq7GP0r,FAVOR
1350379522860998656,44640535,"@MariviGarrido1 @moyamargar @argente_pilar @monpaube @ana_gimenav @ampariu @AmparoEsteban9  pq es la única solución a toda esta catástrofe, para evitar muertes d personas vulnerables y tanto sufrimiento.Tan fácil, tan seguro.Las vacunas funcionan.Hagamos que funcione vacunándonos todos los que podamos.Contando los días para la 2.ª dosis. https://t.co/hrGu1OoIAK",FAVOR
539512888546045953,44910987,"Me van a poner una vacuna ahora, si no twiteo en 2 horas es que he muerto xD",FAVOR
159571998891184128,46358249,"@periodicofarma hola, ya que ha pasado la campaña de vacunación de la gripe, donde podría conseguir la vacuna ? Muchas gracias.",FAVOR
