tweet_id,user_id,retweet_count,favourite_count,source,created_at
43020156737302528,37226226,0,0,Twitter Web Client,2011-03-02 18:49:39
57920839366090752,177120205,0,0,Twitter for iPhone,2011-04-12 21:39:38
57921308490600448,177120205,0,0,Twitter for iPhone,2011-04-12 21:41:30
70452375755829248,40629476,1,0,TweetDeck,2011-05-17 11:35:29
70732089632366592,268989775,0,0,Twitter for Android,2011-05-18 06:06:58
71903861950001152,242511903,0,0,Twitter for iPhone,2011-05-21 11:43:11
77667684778643457,40629476,0,0,TweetDeck,2011-06-06 09:26:33
79094486994661376,254253084,0,0,Twitter for iPhone,2011-06-10 07:56:09
80697357825622016,125463912,0,0,Hootsuite,2011-06-14 18:05:24
86113969693130752,211674312,0,0,Foursquare,2011-06-29 16:49:04
118964296624508928,273619782,0,0,Twitter for iPhone,2011-09-28 08:24:33
119798122561024000,17989551,0,0,Twitter Web Client,2011-09-30 15:37:52
120907347014057984,105629019,0,0,Twitter for iPhone,2011-10-03 17:05:32
122356707081986048,93936231,0,0,Foursquare,2011-10-07 17:04:46
126300329309519873,90046725,0,0,Twitter for iPhone,2011-10-18 14:15:19
128216567778508800,118357405,0,0,TweetDeck,2011-10-23 21:09:46
140168292936593408,129267780,0,0,TweetCaster for Android,2011-11-25 20:41:39
142711543254106113,233470337,0,0,Twitter for Windows Phone,2011-12-02 21:07:38
158545344752398337,229060154,0,0,Twitter for iPhone,2012-01-15 13:45:30
159571998891184128,46358249,0,0,Twitter for iPhone,2012-01-18 09:45:03
161949073564381184,100515720,0,0,Twitter for iPhone,2012-01-24 23:10:42
163734623602491393,181472023,0,0,Twitter for iPhone,2012-01-29 21:25:50
164667836978040832,308023430,0,0,twitterfeed,2012-02-01 11:14:06
166955959359504384,82408359,0,0,Twitter for iPad,2012-02-07 18:46:17
174562910457176064,53353990,0,0,Twitter for BlackBerry®,2012-02-28 18:33:35
174566904885813249,181472023,0,0,Twitter for iPhone,2012-02-28 18:49:28
210101794393698304,150990323,0,0,Twitter for iPhone,2012-06-05 20:12:25
232795978040737792,491353458,0,0,Twitter for Android,2012-08-07 11:11:00
233254797199945729,9409772,0,0,Twitter for iPhone,2012-08-08 17:34:11
236462828217851905,369766002,0,0,Twitter for Android,2012-08-17 14:01:46
247088927725473792,387554172,1,0,Twitter for iPhone,2012-09-15 21:46:05
247405814556532736,89751520,0,0,Twitter for Android,2012-09-16 18:45:17
251274938755973120,462324307,0,0,Twitter for Android,2012-09-27 10:59:48
251321196363255809,14159575,0,0,Foursquare,2012-09-27 14:03:37
253380622263939072,484022167,0,0,Twitter Web Client,2012-10-03 06:27:02
253381366635458560,141683077,0,0,Twitter for Android,2012-10-03 06:30:00
253593556319625216,73927838,0,0,Twitter for Android,2012-10-03 20:33:10
253601080192151552,307558981,0,0,Twitter for iPhone,2012-10-03 21:03:03
255727587001765889,313538699,0,0,Twitter for Android,2012-10-09 17:53:02
255740159323160576,271959891,0,0,Twitter for Android,2012-10-09 18:43:00
256938921676656640,846363044,0,0,Twitter for Android,2012-10-13 02:06:27
257073608722100224,263906729,1,0,Twitter for Android,2012-10-13 11:01:39
258827514489757696,212551202,1,0,Hootsuite,2012-10-18 07:11:02
258890645945597953,545367458,0,0,Twitter for Android,2012-10-18 11:21:54
258895540643844096,83540551,0,0,TweetDeck,2012-10-18 11:41:21
258919479751356418,356223962,0,0,Twitter for Android,2012-10-18 13:16:29
260651141724008448,14937151,0,0,TweetList Pro,2012-10-23 07:57:29
261054947481747456,184554911,0,0,Twitter for iPhone,2012-10-24 10:42:04
261761288823271424,433537359,0,0,Twitter for BlackBerry®,2012-10-26 09:28:49
263017783825149952,700748574,0,0,Twitter for Android,2012-10-29 20:41:40
263956190936047617,189483812,0,0,Twitter for Android,2012-11-01 10:50:34
264654070957105153,856852070,0,0,Twitter for BlackBerry®,2012-11-03 09:03:42
265122109355872257,181252181,0,0,Twitter for iPhone,2012-11-04 16:03:31
267972709516980224,271928157,0,0,Twitter for Android,2012-11-12 12:50:47
270254982509518848,282159522,0,0,Twitter for Android,2012-11-18 19:59:43
271170636989218816,75804609,0,0,Twitter for iPhone,2012-11-21 08:38:12
271253712419303426,309674795,0,0,Twitter for Android,2012-11-21 14:08:19
272392841081270272,44395206,0,0,Twitter Web Client,2012-11-24 17:34:48
272991139072704512,263404798,0,0,Twitter for iPhone,2012-11-26 09:12:14
273469697524133888,474012799,0,0,Twitter for BlackBerry®,2012-11-27 16:53:51
273803771686031361,253311701,0,0,Twitter for Android,2012-11-28 15:01:20
284631770245263361,757402340,0,0,Twitter for Android,2012-12-28 12:07:56
