user_id,favor_done,against_done,none_done,favor_receiv,against_receiv,none_receiv
1048823190653423616,0,0,0,0,0,0
1078425340941344771,0,0,0,0,0,0
1084527738210406402,0,0,0,0,0,0
1086509322719367168,0,0,0,0,0,0
109309136,0,0,1,0,0,0
1094386993,0,0,0,0,0,0
1094941153,0,0,0,0,0,0
110661544,0,0,0,0,0,0
1107612071351500801,4,0,3,5,0,0
1112679917509066752,0,0,0,0,0,2
112782221,0,0,0,0,0,0
1129016786593226752,0,0,0,0,0,0
113581732,0,0,0,0,0,0
1137244088,0,0,0,0,0,0
1172278867979055104,0,0,0,2,0,1
1185244502,7,0,6,2,0,1
1194014989272657920,0,0,0,0,0,0
121700021,0,0,0,0,0,0
122020993,0,0,1,0,0,0
1241427315197988864,0,0,0,0,0,0
1245405110399905792,3,0,1,0,0,0
1257975756229152768,0,0,0,0,0,1
1259457633523830787,1,0,0,1,0,0
1268503059782684673,0,2,0,0,1,0
1280577963528986633,0,0,0,0,0,0
1282259607101100032,0,0,0,0,0,0
128278933,0,0,0,0,0,0
130794158,0,0,0,8,0,2
1328937696,0,2,0,0,2,0
13713512,0,0,0,0,0,0
1379068902,0,0,0,1,0,0
1413049219,0,6,0,0,1,0
1418405966,0,0,0,0,0,0
1425648666,0,0,0,0,0,0
145272503,0,0,0,0,0,0
1458199710,0,0,0,0,0,0
1514456504,0,0,0,0,0,0
15451808,0,0,0,0,0,0
163024954,0,0,0,0,0,0
1643863405,0,0,0,0,0,0
1721796816,2,0,0,2,0,1
182346790,0,0,0,0,0,0
1941694874,0,0,0,0,0,0
1949370745,0,0,0,0,2,0
1966682750,0,0,0,0,0,0
19770809,0,0,0,0,0,0
19842574,1,0,0,0,0,0
19853819,0,0,0,0,0,0
208086043,0,0,0,0,0,0
211131242,0,0,0,0,0,0
2150247720,9,0,25,23,0,12
2160727538,0,0,0,0,0,0
2218402195,0,0,0,0,0,0
2234660111,0,1,0,0,1,0
2289735375,2,0,0,0,0,0
2291476334,0,0,0,0,0,0
2299803774,0,0,0,0,0,0
2312306785,0,0,0,0,0,0
2348637385,0,0,0,0,0,0
238252172,1,0,0,0,0,0
2405309008,0,0,2,0,0,0
252588994,0,0,0,0,0,0
2535917164,0,0,0,0,0,0
2549981702,0,0,0,0,0,0
255002729,0,0,0,2,0,1
2557045290,0,0,0,0,0,0
257022910,0,0,0,0,0,0
2575566397,0,3,0,0,1,0
2603928862,0,0,0,0,0,0
266087835,0,0,0,0,0,0
275487283,0,0,0,0,0,0
277509450,0,0,0,3,0,0
278390597,3,0,0,2,0,0
2824464079,0,0,0,0,0,0
2825230149,0,0,0,0,0,0
2831727421,1,0,2,2,0,0
2842648090,0,0,0,0,0,0
2871534908,0,0,0,0,0,0
2904185421,0,0,0,0,0,0
2907847642,0,0,0,0,0,0
2941373355,0,0,0,1,0,1
299732400,1,0,0,1,0,1
300703744,1,0,2,0,0,0
301645475,0,0,0,0,0,2
3058459234,0,0,1,0,0,0
318372631,0,0,0,0,0,0
3247600917,0,1,0,0,3,0
33182657,0,0,0,0,0,0
3336176295,0,0,0,0,2,0
3340855450,0,0,0,0,0,0
334518662,0,0,0,0,0,0
3417272529,0,0,0,0,0,0
350377687,0,0,0,0,0,0
3511288937,0,0,0,0,0,0
362305215,0,0,0,0,0,0
374445155,5,0,5,9,2,0
3747863055,2,0,2,1,0,0
377303749,0,0,0,2,0,0
382077103,0,0,0,0,0,0
386493055,6,0,0,5,0,0
388476199,0,0,0,0,0,0
389612578,0,0,0,0,0,0
398640727,0,0,0,0,0,0
4033663816,0,0,0,0,0,0
418069098,0,0,0,0,0,0
434979087,0,0,0,4,0,0
4429123978,0,0,0,0,3,0
4526921,0,0,0,1,0,1
471321676,0,0,0,0,0,0
47294804,0,0,0,0,0,0
488387930,0,0,0,0,0,0
507670680,0,0,0,0,0,0
512195466,6,0,6,0,0,0
513472981,0,0,0,0,0,0
516685550,0,0,1,0,1,1
52135079,0,0,1,0,0,0
53872038,0,0,0,0,0,0
54519655,1,0,0,0,0,0
556123844,0,0,0,0,0,0
559834008,0,0,0,0,0,0
56963315,0,0,0,0,0,0
570641205,0,0,0,0,0,0
57350899,0,0,0,0,0,0
59436321,0,0,0,1,0,0
706191568835837952,0,0,0,0,0,0
718113668,0,0,0,0,0,0
73089796,0,0,0,0,0,1
75071568,0,0,0,0,0,0
753540163125538816,0,0,0,0,0,0
776153844,0,0,0,0,0,0
788887712,0,0,1,12,0,4
79021230,0,0,0,0,0,0
798136042884857856,0,0,0,0,0,0
80979176,0,0,0,0,0,0
815703656880369664,5,0,0,0,0,0
8631152,3,0,3,10,0,2
8704772,0,0,0,0,0,0
885165770,0,8,0,0,7,0
88936279,0,0,0,0,0,0
910604057286512640,8,0,0,0,2,0
918825469021212672,1,0,0,0,0,0
92632663,0,0,0,0,0,1
934099898,0,0,1,0,0,1
951601232,1,0,2,0,0,0
952785962,0,0,0,0,0,0
953373478937354245,0,0,0,0,0,0
97011553,0,0,1,1,0,0
975621206,1,0,0,0,0,0
97939627,0,0,0,0,0,0
