user_id,indegree,outdegree,hubs,auth
100044793,18,176,1.14501322057393e-10,1.55216156875674e-13
1002266713,52,27,9.72165482525317e-15,1.88983434539551e-14
100481809,49,462,8.07450101811798e-10,3.35437570223051e-13
100515720,303,1018,2.75774065033954e-09,1.03739268823782e-11
100539810,6830,821,9.80110428882518e-10,2.9607487823515e-10
1006079186,559,1082,2.7099143394509e-09,1.15221515532602e-11
100611628,34,5683,5.09056850476088e-08,4.35025009637341e-13
1007026639,0,145,1.48326239351281e-10,0
1009116900,0,0,0,0
1009664899,26,191,2.19165485658402e-13,0
1010990306,6,14,8.99986685594592e-12,3.74122969815549e-15
1011614880,1,6,1.58653208151724e-15,5.89434835805595e-17
1011864553,93178,13458,3.47836688035356e-09,2.98345083361192e-11
101211935,303,714,5.77882712717891e-09,2.95275083128093e-11
1012203103,0,0,0,0
101524444,1438,5437,3.54395177909118e-08,1.3703808216821e-10
102015242,9926,21915,1.13542752419124e-07,5.96294337360579e-10
1020559236,3,0,1.06343464036081e-17,5.0204425338167e-16
102100426,5163,7441,8.25543174984749e-08,1.90673043020097e-10
102420396,643,115,1.16511511110649e-13,4.35578961378695e-12
1024690117,173,76,5.29079038072371e-10,9.78454027150414e-14
1024980008,0,0,0,0
1027056698,0,6,2.13521260194073e-17,0
1028961271,551,733,1.81050035488831e-11,1.26609373843741e-12
103163709,29,501,1.79018593438714e-09,3.88690506414519e-12
103596271,567,2308,8.73021324043101e-09,9.4159416290698e-12
1039872500807753728,10257,675,1.21460583989402e-08,2.28340836914809e-09
1042698590,4939,3079,6.0839802751524e-09,2.73674535283421e-11
1042775382,2487,3789,3.68427386577724e-09,3.59594608720511e-11
104431004,4106,7660,9.37572632819372e-09,1.84321717291368e-10
1045755804,0,0,0,0
1047513810,133,2696,9.41066538237412e-10,1.73389922102542e-13
1053897615295856640,232,520,1.62379077119957e-09,2.69945266846223e-13
1055125529744101381,165617,5203,1.86111804658319e-08,1.64440907576976e-08
105629019,0,0,0,0
1058869963,34,787,6.27153005034964e-11,0
105922645,100,371,1.4752949444678e-09,1.0988013963778e-12
1060498864271228933,27242,5839,2.08026000761163e-08,4.08280829005282e-09
1061485039,0,0,0,0
1061719765,0,0,0,0
1064192252,45,5589,1.9144159296262e-08,1.06704421158738e-13
106512574,919,753,3.55109721077672e-09,1.02710827547702e-11
1071331740,1,13,3.46555779614361e-14,0
1072499624,296,2909,6.74728868373924e-10,4.82270925748027e-12
1075059108741554176,2947,9205,9.34429336345997e-08,4.90140155554031e-10
1076555946548178944,7008,6153,1.00129373543903e-09,4.08807793746544e-10
1077311989,761,9933,4.79789821314643e-08,9.65193331455826e-12
