tweet_id,user_id,ARI,Bormuth.MC,Coleman,Coleman.C2,Dale.Chall,Danielson.Bryan.2,FOG,TTR,R,I
1345991483917289984,2807061,14.54,-0.86955650462963,4.55,25.3833333333333,-19.3066666666667,44.8162,2.4,1,2.23606797749979,0
1126488644846589952,2929271,16.0257692307692,-4.73608321119709,26.05,25.7423076923077,-27.0169230769231,77.7124,21.1692307692308,0.875,4.28660704987056,40.0909090909091
565269689094656000,6513132,13.5735294117647,-1.30500812301547,-0.508823529411771,13.5794117647059,-31.2767647058823,60.23545,22.2235294117647,1,4.12310562561766,0
1342805866832130048,11798532,26.7072727272727,-0.958178948816679,-3.26818181818182,20.5954545454545,-26.1586363636364,22.2288,24.0181818181818,1,3.16227766016838,0
1130474546342050048,15022080,10.6126923076923,-2.15051213512745,11.1653846153846,18.05,-29.0084615384615,73.97374,17.5076923076923,0.96,4.8,192
556490948054880000,15915380,15.5121428571429,-2.41225141873178,26.05,30.6214285714286,-33.8742857142857,61.8320615384615,14.1714285714286,1,3.60555127546399,0
1347233038158220032,17919801,12.97,-0.867068796875,4.55,25.3833333333333,-11.39,56.4604545454545,15.7333333333333,1,3.3166247903554,0
1308857844519790080,18882085,24.8384210526316,-7.02172859682534,32.8394736842105,30.05,-54.72,73.7032162162162,26.7789473684211,0.837837837837838,5.09636860646608,48.05
424881553198841024,19113547,1.41,-1.01721127929687,26.05,38.55,-24.645,84.3015142857143,18.2,0.875,2.47487373415292,16.3333333333333
1343146054330550016,20526714,26.4892,-4.666881309504,23.47,23.65,-44.45,53.5215333333333,26,1,4.24264068711929,0
563977498716012032,21361705,14.6817647058824,-1.32468812301547,7.07941176470588,20.4029411764706,-31.2767647058823,57.68325,24.5764705882353,1,4,0
1314252546953870080,22950900,12.464,-1.0917914852963,4.55,20.45,-29.8416666666667,60.9227714285714,16.3333333333333,1,3.60555127546399,0
563681402060038016,28717597,3.78142857142857,-1.53724356974139,29.1214285714286,36.9071428571429,-29.1973809523809,85.8025,11.8190476190476,0.842105263157895,3.67065174192899,28.4444444444444
