Source,Target
4526921,833782504196812800
4526921,138424717
4526921,4854831393
4526921,203167419
4526921,303106454
4526921,2674444178
4526921,35798161
4526921,236844020
4526921,1009394084170133504
4526921,584718782
4526921,893136765963382789
4526921,1016941060864528385
4526921,969897188
4526921,1657110780
4526921,1031953515093078016
4526921,816299759594012672
4526921,144583730
4526921,252608688
4526921,384532515
4526921,216061902
4526921,2802421
4526921,257127518
4526921,2575566397
4526921,732945188428124160
4526921,174820707
4526921,107346418
4526921,115646362
4526921,865899006525927424
4526921,984522121140494338
4526921,103352746
4526921,4092345255
4526921,951014261488267265
4526921,1460128572
4526921,910058604002250752
4526921,961236469556932608
4526921,495014572
4526921,71555909
4526921,979615225564532736
4526921,868398193
4526921,819966066
4526921,179523597
4526921,91541961
4526921,231255118
4526921,21176034
4526921,50298006
4526921,2593460833
4526921,1037374827521343494
4526921,537349318
4526921,303305193
4526921,361741598
4526921,932546216700923904
4526921,1084779719990620161
4526921,832928402
4526921,301354883
4526921,3216637936
4526921,449245915
4526921,414000479
4526921,914244084449054720
4526921,156734003
4526921,3855363923
4526921,422163836
4526921,1330087730
4526921,778187467061092352
4526921,793503338637758464
4526921,840930183062392832
4526921,1048506446047010816
4526921,434831393
4526921,927119118
4526921,832187235399254016
4526921,935058919671652352
4526921,338325977
4526921,831217405653311489
4526921,4856574905
4526921,587757556
4526921,24515202
4526921,327922260
4526921,1064089978731487234
4526921,482878437
4526921,3243370077
4526921,452354671
4526921,214434770
4526921,289470327
4526921,449997073
4526921,958390922521260032
4526921,4429123978
4526921,719825220211773440
4526921,381715910
4526921,1666100306
4526921,3673613655
4526921,1216523737
4526921,1475689747
4526921,789184428329152513
4526921,2163374389
4526921,2805982596
4526921,99556079
4526921,107005978
4526921,248602915
4526921,386028758
4526921,16999966
4526921,465116282
4526921,2870299463
4526921,406415902
4526921,857858256
4526921,435794223
4526921,1625312642
4526921,777973982981197825
4526921,291368475
4526921,637243307
4526921,256466078
4526921,241112548
4526921,1040559230611283968
4526921,465918107
4526921,821115918
4526921,446455155
4526921,2149356916
4526921,3133495187
4526921,736980818783002624
4526921,160873837
4526921,2964612879
4526921,38520266
4526921,2990362385
4526921,1851160506
4526921,706197043472162817
4526921,135511321
4526921,401441310
4526921,613780348
4526921,1098225108
4526921,717853727
4526921,456888809
4526921,756049054677790720
4526921,1851797755
4526921,308165881
4526921,393357940
4526921,844844968548065281
4526921,838673176745902080
4526921,842786204412252160
4526921,455714638
4526921,577898258
4526921,507180094
4526921,3415371323
4526921,1511484452
4526921,20110007
4526921,3296184543
4526921,49621481
4526921,831430973447364609
4526921,302760998
4526921,893423871797448704
4526921,12826622
4526921,32571004
4526921,113684726
4526921,297428402
4526921,845402495874748416
4526921,34888021
4526921,106350933
4526921,19283689
4526921,4738452387
4526921,14918814
4526921,829333117185957888
4526921,385915929
4526921,134830439
4526921,609443988
4526921,2425395278
4526921,895942861
4526921,6043362
4526921,303304673
4526921,479584243
4526921,233211498
4526921,2249000771
4526921,786593118632022016
4526921,2617211215
4526921,1680943704
4526921,2147611
4526921,963179251229970432
4526921,941367878875598849
4526921,481458560
4526921,1315170260
4526921,1056991075896836096
4526921,3297057476
4526921,2285409680
4526921,8233652
4526921,529463202
4526921,563342021
4526921,980723137124929536
4526921,255652931
4526921,1059749731038097408
4526921,1215658096800026624
4526921,1251004171
4526921,478936908
4526921,1084025961908178944
4526921,806852882
4526921,1248546818218233856
4526921,1112372687186419712
4526921,245974070
4526921,988754558926114816
4526921,601028032
4526921,4569445211
4526921,1039795969917939712
4526921,262280017
4526921,1423728558
4526921,464668191
4526921,286809454
4526921,737421771092197376
4526921,1254180901354967041
4526921,1200164656071028736
4526921,313911120
4526921,493538105
4526921,1257302792252751873
4526921,1258185032650428419
4526921,1259457633523830787
4526921,498673093
4526921,1166118187005599750
4526921,819794252
4526921,1250742027500883972
4526921,2800704065
4526921,742673562146856960
4526921,92331865
